Cod DCI,Denumirea Comuna Internationala (DCI),Cod DCI_sec,Denumirea comună internațională (DCI),Cod DC,Cod DC_sec,Denumirea comercială (DC),Cod ATC,coverage_type,Grupa maladiilor pentru compensare,"Cod CIM 
de diagnostic/limitare indicație",Firma producătoare,manufacturer_label,Ţara
805,AMOXICILLINUM,202,,8053005,2023005,Amoxicilină Atb® 500 mg,J01CA04,Full,pentru tratamentul episodic,,"Antibiotice SA, SC",Antibiotice SA,România
807,AMPICILLINUM,907,,8071002,9071002,Ampicilină Atb® 250 mg capsule,J01CA01,Full,pentru tratamentul episodic,,"Antibiotice SA, SC",Antibiotice SA,România
807,AMPICILLINUM,907,,8072002,9072002,Ampicilină Atb® 500 mg capsule,J01CA01,Full,pentru tratamentul episodic,,"Antibiotice SA, SC",Antibiotice SA,România
17,BISOPROLOLUM,,,171005,,Bisotens® 5 mg,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Antibiotice SA, SC",Antibiotice SA,România
17,BISOPROLOLUM,,,172005,,Bisotens® 10 mg,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Antibiotice SA, SC",Antibiotice SA,România
814,CEFALEXINUM,914,,8141003,9141003,Cefalexină Atb® 250 mg,J01DB01,Full,pentru tratamentul episodic,,"Antibiotice SA, SC",Antibiotice SA,România
814,CEFALEXINUM,914,,8143003,9143003,Cefalexină Atb® 500 mg,J01DB01,Full,pentru tratamentul episodic,,"Antibiotice SA, SC",Antibiotice SA,România
815,CEFIXIMUM,915,,8151002,9151002,Eficef® 200 mg,J01DD08,Full,pentru tratamentul episodic,,"Antibiotice SA, SC",Antibiotice SA,România
818,CIPROFLOXACINUM,918,,8184003,9184003,Cipro Quin®,J01MA02,Full,pentru tratamentul episodic,,"Antibiotice SA, SC",Antibiotice SA,România
33,CLARITHROMYCINUM,919,,331016,9191016,Roclarin® 500 mg,J01FA09,Full,pentru tratamentul episodic,,"Antibiotice SA, SC",Antibiotice SA,România
73,DICLOFENACUM,,,734001,,Clafen® 100 mg,M01AB05,Partial,Pentru maladii osteoarticulare,,"Antibiotice SA, SC",Antibiotice SA,România
824,DICLOFENACUM,924,,8244001,9244001,Clafen® 100 mg,M01AB05,Full,pentru tratamentul episodic,,"Antibiotice SA, SC",Antibiotice SA,România
403,DICLOFENACUM,,,4034001,,Clafen® 100 mg,M01AB05,Full,Pentru tratamentul în Îngrijiri paliative,,"Antibiotice SA, SC",Antibiotice SA,România
8,LISINOPRILUM,,,83015,,Lisinopril Atb® 10 mg,C09AA03,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Antibiotice SA, SC",Antibiotice SA,România
8,LISINOPRILUM,,,84013,,Lisinopril Atb® 20 mg,C09AA03,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Antibiotice SA, SC",Antibiotice SA,România
,PARACETAMOLUM,205,,,2054001,Paracetamol Atb® 125 mg,N02BE01,Full,pentru tratamentul episodic,,"Antibiotice SA, SC",Antibiotice SA,România
,PARACETAMOLUM,205,,,2056001,Paracetamol Atb®  250 mg,N02BE01,Full,pentru tratamentul episodic,,"Antibiotice SA, SC",Antibiotice SA,România
76,DAPAGLIFLOZINUM,,,761001,,Forxiga,A10BK01,Partial,Pentru tratamentul maladiilor cardiovasculare,,"AstraZeneca AB, Suedia(PROD: AstraZeneca AB, Suedia; ,AstraZeneca UK Ltd, Marea Britanie; )",AstraZeneca,Suedia
700,DAPAGLIFLOZINUM,,,7001001,,Forxiga,A10BK01,Partial,Pentru tratamentul diabetului zaharat,,"AstraZeneca AB, Suedia(PROD: AstraZeneca AB, Suedia; ,AstraZeneca UK Ltd, Marea Britanie; )",AstraZeneca,Suedia
68,BUDESONIDUM+FORMOTEROLUM,,,681001,,Symbicort® Turbuhaler®,R03AK07,Partial,Pentru tratamentul astmului bronşic,,"AstraZeneca AB, Suedia(PROD: AstraZeneca AB, Suedia; )",AstraZeneca,Suedia
68,BUDESONIDUM+FORMOTEROLUM,,,682001,,Symbicort® Turbuhaler®,R03AK07,Partial,Pentru tratamentul astmului bronşic,,"AstraZeneca AB, Suedia(PROD: AstraZeneca AB, Suedia; )",AstraZeneca,Suedia
77,TICAGRELORUM,,,771001,,Brilique,B01AC24,Partial,Pentru tratamentul maladiilor cardiovasculare,,"AstraZeneca AB, Suedia(PROD: AstraZeneca AB, Suedia; )",AstraZeneca,Suedia
70,BUDESONIDUM,,,702001,,Pulmicort®,R03BA02,Full,Pentru tratamentul astmului bronşic la copii 0-18 ani,,"AstraZeneca Farmacéutica Spain, S.A., Spania(PROD: AstraZeneca AB, Suedia; )",AstraZeneca,Spania
70,BUDESONIDUM,,,701001,,Pulmicort®,R03BA02,Full,Pentru tratamentul astmului bronşic la copii 0-18 ani,,"AstraZeneca Farmacéutica Spain, S.A., Spania(PROD: AstraZeneca AB, Suedia; )",AstraZeneca,Spania
855,BUDESONIDUM,955,,8551001,9551001,Pulmicort®,R03BA02,Full,pentru tratamentul episodic,,"AstraZeneca Farmacéutica Spain, S.A., Spania(PROD: AstraZeneca AB, Suedia; )",AstraZeneca,Spania
,PARACETAMOLUM,205,,,2051104,Paracetamol B.Braun,N02BE01,Full,pentru tratamentul episodic,,"B. Braun Melsungen AG , Germania(PROD: B. Braun Medical S.A., Spania; )",B. Braun,Germania
7,AMLODIPINUM,,,71035,,Amlodipin-BP,C08CA01,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals  SRL, Republica Moldova(PROD: Balkan Pharmaceuticals SRL, Republica Moldova; )",Balkan Pharmaceuticals,Republica Moldova
7,AMLODIPINUM,,,72028,,Amlodipin-BP,C08CA01,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals  SRL, Republica Moldova(PROD: Balkan Pharmaceuticals SRL, Republica Moldova; )",Balkan Pharmaceuticals,Republica Moldova
39,LOSARTANUM,,,392005,,Losartan-BP,C09CA01,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals  SRL, Republica Moldova(PROD: Balkan Pharmaceuticals SRL, Republica Moldova; )",Balkan Pharmaceuticals,Republica Moldova
703,METFORMINUM,,,7031014,,Metformin-BP,A10BA02,Partial,Pentru tratamentul diabetului zaharat,,"Balkan Pharmaceuticals  SRL, Republica Moldova(PROD: Balkan Pharmaceuticals SRL, Republica Moldova; )",Balkan Pharmaceuticals,Republica Moldova
703,METFORMINUM,,,7032015,,Metformin-BP,A10BA02,Partial,Pentru tratamentul diabetului zaharat,,"Balkan Pharmaceuticals  SRL, Republica Moldova(PROD: Balkan Pharmaceuticals SRL, Republica Moldova; )",Balkan Pharmaceuticals,Republica Moldova
703,METFORMINUM,,,7033008,,Metformin-BP,A10BA02,Partial,Pentru tratamentul diabetului zaharat,,"Balkan Pharmaceuticals  SRL, Republica Moldova(PROD: Balkan Pharmaceuticals SRL, Republica Moldova; )",Balkan Pharmaceuticals,Republica Moldova
839,NIMESULIDUM,939,,8392007,9392007,Nimesulid-BP,M01AX17,Full,pentru tratamentul episodic,,"Balkan Pharmaceuticals  SRL, Republica Moldova(PROD: Balkan Pharmaceuticals SRL, Republica Moldova; )",Balkan Pharmaceuticals,Republica Moldova
506,CLOZAPINUM,,,5061003,,Clozapin-BP,N05AH02,Full,Pentru tratamentul bolilor psihice,,Balkan Pharmaceuticals SRL,Balkan Pharmaceuticals,Republica Moldova
506,CLOZAPINUM,,,5062003,,Clozapin-BP,N05AH02,Full,Pentru tratamentul bolilor psihice,,Balkan Pharmaceuticals SRL,Balkan Pharmaceuticals,Republica Moldova
