Cod DCI,Denumirea Comuna Internationala (DCI),Cod DCI_sec,Denumirea comună internațională (DCI),Cod DC,Cod DC_sec,Denumirea comercială (DC),Cod ATC,coverage_type,Grupa maladiilor pentru compensare,"Cod CIM 
de diagnostic/limitare indicație",Firma producătoare,manufacturer_label,Ţara
77,TICAGRELORUM,,,771004,,Ticagrelor STADA,B01AC24,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Laboratorio STADA, S.L., Spania(PROD: Centrafarm Services B.V., Țările de Jos; ,Stada Arzneimittel AG, Germania; ,STADA Arzneimittel GmbH, Austria; )",Laboratorio STADA,Spania
854,VALSARTANUM,,,8542009,,Valsartan STADAFARMA,C09CA03,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Laboratorio STADA, S.L., Spania(PROD: Laboratorios LICONSA S.A., Spania; )",Laboratorio STADA,Spania
854,VALSARTANUM,,,8543010,,Valsartan STADAFARMA,C09CA03,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Laboratorio STADA, S.L., Spania(PROD: Laboratorios LICONSA S.A., Spania; )",Laboratorio STADA,Spania
81,AMLODIPINUM+VALSARTANUM,,,811003,,Amlodipino/Valsartan STADA,C09DB01,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Laboratorio STADA, S.L., Spania(PROD: Stada Arzneimittel AG, Germania; )",Laboratorio STADA,Spania
81,AMLODIPINUM+VALSARTANUM,,,812003,,Amlodipino/Valsartan STADA,C09DB01,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Laboratorio STADA, S.L., Spania(PROD: Stada Arzneimittel AG, Germania; )",Laboratorio STADA,Spania
53,LERCANIDIPINUM,,,531002,,Lercanidipino STADA,C08CA13,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Laboratorio STADA, S.L., Spania(PROD: Stada Arzneimittel AG, Germania; )",Laboratorio STADA,Spania
53,LERCANIDIPINUM,,,532002,,Lercanidipino STADA,C08CA13,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Laboratorio STADA, S.L., Spania(PROD: Stada Arzneimittel AG, Germania; )",Laboratorio STADA,Spania
55,NEBIVOLOLUM,,,551003,,Nebivolol STADA,C07AB12,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Laboratorio STADA, S.L., Spania(PROD: Stada Arzneimittel AG, Germania; )",Laboratorio STADA,Spania
61,ROSUVASTATINUM,,,611006,,Rosuvastatina STADA,C10AA07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Laboratorio STADA, S.L., Spania(PROD: Stada Arzneimittel AG, Germania; )",Laboratorio STADA,Spania
61,ROSUVASTATINUM,,,612012,,Rosuvastatina STADA,C10AA07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Laboratorio STADA, S.L., Spania(PROD: Stada Arzneimittel AG, Germania; )",Laboratorio STADA,Spania
61,ROSUVASTATINUM,,,613011,,Rosuvastatina STADA,C10AA07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Laboratorio STADA, S.L., Spania(PROD: Stada Arzneimittel AG, Germania; )",Laboratorio STADA,Spania
41,TORASEMIDUM,,,411008,,Torasemida STADA,C03CA04,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Laboratorio STADA, S.L., Spania(PROD: Stada Arzneimittel AG, Germania; )",Laboratorio STADA,Spania
41,TORASEMIDUM,,,412008,,Torasemida STADA,C03CA04,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Laboratorio STADA, S.L., Spania(PROD: Stada Arzneimittel AG, Germania; )",Laboratorio STADA,Spania
89,VALSARTANUM+HYDROCHLORTHIAZIDUM,,,891002,,Valsartan/Hidroclorotiazida STADA,C09DA03,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Laboratorio STADA, S.L., Spania(PROD: Stada Arzneimittel AG, Germania; )",Laboratorio STADA,Spania
83,BICALUTAMIDUM,,,831002,,Bicalutamida STADA 50 mg,L02BB03,Partial,Pentru tratamentul maladiilor oncologice,,"Laboratorio STADA, S.L., Spania(PROD: Tecnimede Sociedade Tecnico-Medicinal, S.A., Portugalia; )",Laboratorio STADA,Spania
864,PANTOPRAZOLUM,964,,8642014,9642014,Pantonor,A02BC02,Full,pentru tratamentul episodic,,"LABORATORIOS NORMON, S.A., Spania(PROD: LABORATORIOS NORMON, S.A., Spania; )",LABORATORIOS NORMON,Spania
864,PANTOPRAZOLUM,964,,8642014,9642014,Pantonor,A02BC02,Full,pentru tratamentul episodic,,"LABORATORIOS NORMON, S.A., Spania(PROD: LABORATORIOS NORMON, S.A., Spania; )",LABORATORIOS NORMON,Spania
61,ROSUVASTATINUM,,,612013,,Rosunor,C10AA07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"LABORATORIOS NORMON, S.A., Spania(PROD: LABORATORIOS NORMON, S.A., Spania; )",LABORATORIOS NORMON,Spania
2,ENALAPRILUM,,,23002,,Enalapril LPH® 10 mg,C09AA02,Partial,Pentru tratamentul maladiilor cardiovasculare,,Labormed Pharma S.A.,Labormed Pharma,România
2,ENALAPRILUM,,,24001,,Enalapril LPH® 20 mg,C09AA02,Partial,Pentru tratamentul maladiilor cardiovasculare,,Labormed Pharma S.A.,Labormed Pharma,România
5,FUROSEMIDUM,962,,51002,9621002,Furosemid LPH® 40 mg,C03CA01,Full,pentru tratamentul episodic,,Labormed Pharma S.A.,Labormed Pharma,România
,PARACETAMOLUM,205,,,2051004,Paracetamol LPH® 500 mg,N02BE01,Full,pentru tratamentul episodic,,Labormed Pharma S.A.,Labormed Pharma,România
407,PARACETAMOLUM,,,4071004,,Paracetamol LPH® 500 mg,N02BE01,Full,Pentru tratamentul în Îngrijiri paliative,,Labormed Pharma S.A.,Labormed Pharma,România
7,AMLODIPINUM,,,71024,,Amlodipină LPH® 5 mg,C08CA01,Partial,Pentru tratamentul maladiilor cardiovasculare,,Labormed Pharma SA,Labormed Pharma,România
7,AMLODIPINUM,,,72021,,Amlodipină LPH® 10 mg,C08CA01,Partial,Pentru tratamentul maladiilor cardiovasculare,,Labormed Pharma SA,Labormed Pharma,România
6,METOPROLOLUM,,,62003,,Metoprolol LPH® 50 mg,C07AB02,Partial,Pentru tratamentul maladiilor cardiovasculare,,Labormed Pharma SA,Labormed Pharma,România
6,METOPROLOLUM,,,63017,,Metoprolol LPH® 100 mg,C07AB02,Partial,Pentru tratamentul maladiilor cardiovasculare,,Labormed Pharma SA,Labormed Pharma,România
3,INDAPAMIDUM,,,32001,,"Indapamid LPH® 1,5 mg",C03BA11,Partial,Pentru tratamentul maladiilor cardiovasculare,,"LaborMed Pharma SA, SC",Labormed Pharma,România
,AMOXICILLINUM+ACIDUM CLAVULANICUM,228,,,2281006,Amoksiklav® 2x,J01CR02,Full,pentru tratamentul episodic,,"Lek Pharmaceuticals d.d. (prod.: Lek Pharmaceuticals d.d., Penicillin Production Plant, Slovenia)",Lek Pharmaceuticals,Slovenia
808,AZITHROMYCINUM,229,,8084018,2294018,Azithromycin Lek®,J01FA10,Full,pentru tratamentul episodic,,"Lek Pharmaceuticals d.d. (prod.: Sandoz SRL, România)",Lek Pharmaceuticals,Slovenia
,AZITHROMYCINUM,229,,,2292008,Azithromycin Lek®,J01FA10,Full,pentru tratamentul episodic,,"Lek Pharmaceuticals d.d. (prod.: Sandoz SRL, România)",Lek Pharmaceuticals,Slovenia
230,FERRI (III) HYDROXIDUM CUM POLYMALTOSI COMPLEXUM,,,2303001,,Ferrum Lek®,B03AB05,Full,Pentru tratament şi profilaxie la copii de vîrsta 0-18 ani,,Lek Pharmaceuticals d.d./Ljubljana,Lek Pharmaceuticals,Slovenia
303,FERRI (III) HYDROXIDUM CUM POLYMALTOSI COMPLEXUM,,,3031002,,Ferrum Lek®,B03AB05,Full,Pentru tratamentul anemiilor la femei gravide şi profilaxia malformaţiilor,,Lek Pharmaceuticals d.d./Ljubljana,Lek Pharmaceuticals,Slovenia
858,KETOPROFENUM,958,,8582001,9582001,Ketonal® Forte,M01AE03,Full,pentru tratamentul episodic,,Lek Pharmaceuticals d.d./Ljubljana,Lek Pharmaceuticals,Slovenia
858,KETOPROFENUM,958,,8584001,9584001,Ketonal®,M01AE03,Full,pentru tratamentul episodic,,Lek Pharmaceuticals d.d./Ljubljana,Lek Pharmaceuticals,Slovenia
404,KETOPROFENUM,,,4042001,,Ketonal® Forte,M01AE03,Full,Pentru tratamentul în Îngrijiri paliative,,Lek Pharmaceuticals d.d./Ljubljana,Lek Pharmaceuticals,Slovenia
601,LEVODOPUM + CARBIDOPUM,,,6011002,,Nakom®,N04BA02,Full,Pentru tratamentul bolii şi sindromului Parkinson,,Lek Pharmaceuticals d.d./Ljubljana,Lek Pharmaceuticals,Slovenia
230,FERRI (III) HYDROXIDUM CUM POLYMALTOSI COMPLEXUM,,,2301005,,Ferrum Lek®,B03AB05,Full,Pentru tratament şi profilaxie la copii de vîrsta 0-18 ani,,"Lek Pharmaceuticals d.d./Ljubljana (prod.: Sandoz Ilac Sanayi ve Ticaret A.S., Turcia)",Lek Pharmaceuticals,Slovenia
806,AMOXICILLINUM+ACIDUM CLAVULANICUM,228,,8064009,2284009,Amoksiklav® Quicktab® 875 mg/125 mg,J01CR02,Full,pentru tratamentul episodic,,"Lek Pharmaceuticals d.d./Ljubljana, Slovenia(PROD: Lek Pharmaceuticals d.d., Penicillin Production Plant, Slovenia; )",Lek Pharmaceuticals,Slovenia
11,ACIDUM ACETYLSALICYLICUM,,,111008,,ASK,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekfarm SRL,Lekfarm,Republica Belarus
11,ACIDUM ACETYLSALICYLICUM,,,111008,,ASK,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekfarm SRL,Lekfarm,Republica Belarus
650,ACIDUM ACETYLSALICYLICUM,750,,6501008,7501008,ASK,B01AC06,Full,pentru tratamentul episodic,,Lekfarm SRL,Lekfarm,Republica Belarus
650,ACIDUM ACETYLSALICYLICUM,750,,6501008,7501008,ASK,B01AC06,Full,pentru tratamentul episodic,,Lekfarm SRL,Lekfarm,Republica Belarus
,AMBROXOLUM,227,,,2272006,Ambroxol,R05CB06,Full,pentru tratamentul episodic,,Lekfarm SRL,Lekfarm,Republica Belarus
,AMBROXOLUM,227,,,2272006,Ambroxol,R05CB06,Full,pentru tratamentul episodic,,Lekfarm SRL,Lekfarm,Republica Belarus
7,AMLODIPINUM,,,71030,,Amlodipin,C08CA01,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekfarm SRL,Lekfarm,Belarus
17,BISOPROLOLUM,,,171014,,Bicard-LF,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekfarm SRL,Lekfarm,Republica Belarus
2,ENALAPRILUM,,,22020,,Enalapril,C09AA02,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekfarm SRL,Lekfarm,Republica Belarus
2,ENALAPRILUM,,,22020,,Enalapril,C09AA02,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekfarm SRL,Lekfarm,Republica Belarus
2,ENALAPRILUM,,,24016,,Enalapril,C09AA02,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekfarm SRL,Lekfarm,Republica Belarus
2,ENALAPRILUM,,,24016,,Enalapril,C09AA02,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekfarm SRL,Lekfarm,Republica Belarus
3,INDAPAMIDUM,,,32008,,Indalong,C03BA11,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekfarm SRL,Lekfarm,Republica Belarus
8,LISINOPRILUM,,,84015,,Lizitar-LF,C09AA03,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekfarm SRL,Lekfarm,Republica Belarus
839,NIMESULIDUM,939,,8391006,9391006,Nisit,M01AX17,Full,pentru tratamentul episodic,,Lekfarm SRL,Lekfarm,Belarus
839,NIMESULIDUM,939,,8391006,9391006,Nisit,M01AX17,Full,pentru tratamentul episodic,,Lekfarm SRL,Lekfarm,Belarus
35,OMEPRAZOLUM,941,,351010,9411010,Omeprazol,A02BC01,Full,pentru tratamentul episodic,,Lekfarm SRL,Lekfarm,Republica Belarus
16,RAMIPRILUM,,,162009,,Ramilong,C09AA05,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekfarm SRL,Lekfarm,Republica Belarus
847,PYRIDOXINUM,947,,8471008,9471008,Clorhidrat de piridoxină (Vitamina B6),A11HA02,Full,pentru tratamentul episodic,,"Lekhim-Harkov SAP, Ucraina(PROD: Lekhim-Harkov SAP, Ucraina; )",Lekhim-Harkov,Ucraina
851,THIAMINI HYDROCHLORIDUM,951,,8511004,9511004,Clorhidrat de tiamină,A11DA01,Full,pentru tratamentul episodic,,"Lekhim-Harkov SAP, Ucraina(PROD: Lekhim-Harkov SAP, Ucraina; )",Lekhim-Harkov,Ucraina
851,THIAMINI HYDROCHLORIDUM,951,,8511004,9511004,Clorhidrat de tiamină,A11DA01,Full,pentru tratamentul episodic,,"Lekhim-Harkov SAP, Ucraina(PROD: Lekhim-Harkov SAP, Ucraina; )",Lekhim-Harkov,Ucraina
7,AMLODIPINUM,,,72012,,Amlodipin,C08CA01,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekpharm SRL,Lekpharm,Republica Belarus
17,BISOPROLOLUM,,,172014,,Bicard-LF,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekpharm SRL,Lekpharm,Republica Belarus
2,ENALAPRILUM,,,23027,,Enalapril,C09AA02,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekpharm SRL,Lekpharm,Republica Belarus
2,ENALAPRILUM,,,23027,,Enalapril,C09AA02,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekpharm SRL,Lekpharm,Republica Belarus
8,LISINOPRILUM,,,82014,,Lizitar-LF,C09AA03,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekpharm SRL,Lekpharm,Republica Belarus
8,LISINOPRILUM,,,83022,,Lizitar-LF,C09AA03,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekpharm SRL,Lekpharm,Republica Belarus
16,RAMIPRILUM,,,163009,,Ramilong,C09AA05,Partial,Pentru tratamentul maladiilor cardiovasculare,,Lekpharm SRL,Lekpharm,Republica Belarus
17,BISOPROLOLUM,,,173008,,Bicard-LF,C07AB07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",Lekpharm,Republica Belarus
72,RIVAROXABANUM,,,721008,,Rivaroxaban-LF,B01AF01,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",Lekpharm,Republica Belarus
72,RIVAROXABANUM,,,722008,,Rivaroxaban-LF,B01AF01,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",Lekpharm,Republica Belarus
72,RIVAROXABANUM,,,723008,,Rivaroxaban-LF,B01AF01,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",Lekpharm,Republica Belarus
272,RIVAROXABANUM,,,2721008,,Rivaroxaban-LF,B01AF01,Full,Pentru tratament şi profilaxie la copii de vîrsta 0-18 ani,,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",Lekpharm,Republica Belarus
272,RIVAROXABANUM,,,2722008,,Rivaroxaban-LF,B01AF01,Full,Pentru tratament şi profilaxie la copii de vîrsta 0-18 ani,,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",Lekpharm,Republica Belarus
272,RIVAROXABANUM,,,2723008,,Rivaroxaban-LF,B01AF01,Full,Pentru tratament şi profilaxie la copii de vîrsta 0-18 ani,,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",Lekpharm,Republica Belarus
61,ROSUVASTATINUM,,,612007,,Rosuvastatin-LF,C10AA07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",Lekpharm,Republica Belarus
61,ROSUVASTATINUM,,,613007,,Rosuvastatin-LF,C10AA07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",Lekpharm,Republica Belarus
704,GLICLAZIDUM,,,7042004,,Diaprel® MR 60 mg,A10BB09,Full,Pentru tratamentul diabetului zaharat,,"Les Laboratoires Servier (prod.: Anpharm Przedsiebiorstwo Farmaceutyczne S.A., Polonia; Les Laboratoires Servier Industrie (LSI), Franţa; Servier (Ireland) Industries Ltd, Irlanda)",Les Laboratoires Servier,Franţa
3,INDAPAMIDUM,,,32005,,"Tertensif® SR 1,5 mg",C03BA11,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Les Laboratoires Servier (prod.: Anpharm Przedsiebiorstwo Farmaceutyczne S.A., Polonia; Les Laboratoires Servier Industrie, Franţa; Servier (Ireland) Industries Ltd, Irlanda)",Les Laboratoires Servier,Franţa
56,PERINDOPRILUM,,,561001,,Prestarium® 10 mg,C09AA04,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Les Laboratoires Servier (prod.: Anpharm Przedsiebiorstwo Farmaceutyczne S.A., Polonia; Les Laboratoires Servier Industrie, Franţa; Servier (Ireland) Industries Ltd, Irlanda)",Les Laboratoires Servier,Franţa
56,PERINDOPRILUM,,,562001,,Prestarium® 5 mg,C09AA04,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Les Laboratoires Servier (prod.: Anpharm Przedsiebiorstwo Farmaceutyczne S.A., Polonia; Les Laboratoires Servier Industrie, Franţa; Servier (Ireland) Industries Ltd, Irlanda)",Les Laboratoires Servier,Franţa
69,PERINDOPRILUM ARGININUM+INDAPAMIDUM,,,691001,,"Noliprel® Arg forte 5 mg/1,25 mg",C09BA04,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Les Laboratoires Servier, Franţa(PROD: Anpharm Przedsiebiorstwo Farmaceutyczne S.A., Polonia; ,Les Laboratoires Servier Industrie (LSI), Franţa; ,Servier (Ireland) Industries Ltd, Irlanda; )",Les Laboratoires Servier,Franţa
396,BRIMONIDINUM+TIMOLOLUM,,,3961001,,Brimoptic™,S01ED51,Full,Pentru tratamentul maladiilor oftalmologice,,Liqvor SAÎ,Liqvor,Armenia
86,ACIDUM IBANDRONICUM,,,862002,,Vivanat Rompharm,M05BA06,Partial,Pentru tratamentul osteoporozei,,"LLC Rompharm Company Georgia, Georgia(PROD: S.C. Rompharm Company S.R.L., România; )",Rompharm,Georgia
14,ACIDUM URSODEOXYCHOLICUM,,,142003,,Ursolisin,A05AA02,Partial,Pentru tratamentul maladiilor aparatului digestiv,,"Magis Farmaceutici S.r.l., Italia(PROD: ABC Farmaceutici SpA, Italia; )",Magis Farmaceutici,Italia
,IBUPROFENUM,997,,,9971206,Ibufen,M01AE01,Full,pentru tratamentul episodic,,Medana Pharma SA,Medana Pharma,Polonia
,IBUPROFENUM,997,,,9971207,Ibufen D,M01AE01,Full,pentru tratamentul episodic,,Medana Pharma SA,Medana Pharma,Polonia
414,IBUPROFENUM,,,4141207,,Ibufen D,M01AE01,Full,Pentru tratamentul în Îngrijiri paliative,,Medana Pharma SA,Medana Pharma,Polonia
414,IBUPROFENUM,,,4141206,,Ibufen,M01AE01,Full,Pentru tratamentul în Îngrijiri paliative,,Medana Pharma SA,Medana Pharma,Polonia
849,SULFAMETHOXAZOLUM + TRIMETHOPRIMUM,215,,8495001,2155001,Biseptol,J01EE01,Full,pentru tratamentul episodic,,Medana Pharma SA,Medana Pharma,Polonia
806,AMOXICILLINUM+ACIDUM CLAVULANICUM,228,,8063003,2283003,Medoclav® 500 mg/125 mg,J01CR02,Full,pentru tratamentul episodic,,Medochemie Ltd,Medochemie,Cipru
806,AMOXICILLINUM+ACIDUM CLAVULANICUM,228,,8064006,2284006,Medoclav® 875 mg/125 mg,J01CR02,Full,pentru tratamentul episodic,,Medochemie Ltd,Medochemie,Cipru
513,PAROXETINUM,,,5131001,,Arketis® 20 mg,N06AB05,Full,Pentru tratamentul bolilor psihice,,"Medochemie Ltd (prod.: Farmaceutisch Analytisch Laboratorium Duiven BV, Olanda; Medochemie Ltd- Factory AZ, Cipru)",Medochemie,Cipru
812,CEFTRIAXONUM,912,,8123003,9123003,Medaxone®,J01DD04,Full,pentru tratamentul episodic,,"Medochemie Ltd (prod.: Medochemie Ltd (Factory C), Cipru)",Medochemie,Cipru
,IBUPROFENUM,997,,,9973007,Sammit® Max,M01AE01,Full,pentru tratamentul episodic,,"Medochemie Ltd (prod.: Medochemie Ltd- Factory AZ, Cipru)",Medochemie,Cipru
414,IBUPROFENUM,,,4143007,,Sammit® Max,M01AE01,Full,Pentru tratamentul în Îngrijiri paliative,,"Medochemie Ltd (prod.: Medochemie Ltd- Factory AZ, Cipru)",Medochemie,Cipru
61,ROSUVASTATINUM,,,612011,,Rovastamed,C10AA07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Medochemie Ltd, Cipru",Medochemie,Cipru
28,ESCITALOPRAMUM,,,281009,,Estan,N06AB10,Partial,Pentru tratamentul depresiei,,"Medochemie Ltd, Cipru(PROD: Farmaceutisch Analytisch Laboratorium Duiven BV, Olanda; ,Medochemie Ltd- Factory AZ, Cipru; )",Medochemie,Cipru
653,ESCITALOPRAMUM,753,,6531009,7531009,Estan,N06AB10,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Farmaceutisch Analytisch Laboratorium Duiven BV, Olanda; ,Medochemie Ltd- Factory AZ, Cipru; )",Medochemie,Cipru
703,METFORMINUM,,,7031015,,Brotmin,A10BA02,Partial,Pentru tratamentul diabetului zaharat,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory AZ), Cipru; )",Medochemie,Cipru
703,METFORMINUM,,,7032017,,Brotmin,A10BA02,Partial,Pentru tratamentul diabetului zaharat,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory AZ), Cipru; )",Medochemie,Cipru
703,METFORMINUM,,,7033010,,Brotmin,A10BA02,Partial,Pentru tratamentul diabetului zaharat,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory AZ), Cipru; )",Medochemie,Cipru
,CEFACLORUM,909,,,9094001,Medoclor® 125 mg/5 ml,J01DC04,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",Medochemie,Cipru
,CEFACLORUM,909,,,9091001,Medoclor Forte® 250 mg/5 ml,J01DC04,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",Medochemie,Cipru
,CEFACLORUM,909,,,9093001,Medoclor®,J01DC04,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",Medochemie,Cipru
812,CEFTRIAXONUM,912,,8123003,9123003,Medaxone®,J01DD04,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",Medochemie,Cipru
817,CEFUROXIMUM,225,,8172010,2252010,Axetine,J01DC02,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",Medochemie,Cipru
817,CEFUROXIMUM,225,,8173010,2253010,Axetine,J01DC02,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",Medochemie,Cipru
817,CEFUROXIMUM,225,,8175005,2255005,Axetine®,J01DC02,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",Medochemie,Cipru
817,CEFUROXIMUM,225,,8176001,2256001,Axetine®,J01DC02,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",Medochemie,Cipru
806,AMOXICILLINUM+ACIDUM CLAVULANICUM,228,,8066006,2286006,"Medoclav® 1,2 g",J01CR02,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",Medochemie,Cipru
823,DEXAMETHASONUM,923,,8232004,9232004,Dexamed®,H02AB02,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",Medochemie,Cipru
401,DEXAMETHASONUM,,,4012004,,Dexamed®,H02AB02,Full,Pentru tratamentul în Îngrijiri paliative,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",Medochemie,Cipru
511,LAMOTRIGINUM,,,5112017,,Lamotrix®,N03AX09,Full,Pentru tratamentul epilepsiei,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",Medochemie,Cipru
511,LAMOTRIGINUM,,,5112018,,Lamotrix®,N03AX09,Full,Pentru tratamentul epilepsiei,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",Medochemie,Cipru
841,LAMOTRIGINUM,942,,8412017,9422017,Lamotrix®,N03AX09,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",Medochemie,Cipru
841,LAMOTRIGINUM,942,,8412018,9422018,Lamotrix®,N03AX09,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",Medochemie,Cipru
59,MEMANTINUM,,,591006,,Mantomed,N06DX01,Partial,Pentru tratamentul demenței(bolii Alzheimer),,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",Medochemie,Cipru
654,MEMANTINUM,754,,6541006,7541006,Mantomed,N06DX01,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",Medochemie,Cipru
865,PREGABALINUM,,,8651005,,Siranalen,N03AX16,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",Medochemie,Cipru
865,PREGABALINUM,,,8652005,,Siranalen,N03AX16,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",Medochemie,Cipru
865,PREGABALINUM,,,8653003,,Siranalen,N03AX16,Full,pentru tratamentul episodic,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",Medochemie,Cipru
72,RIVAROXABANUM,,,722012,,Enkia,B01AF01,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",Medochemie,Cipru
72,RIVAROXABANUM,,,723012,,Enkia,B01AF01,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",Medochemie,Cipru
272,RIVAROXABANUM,,,2722012,,Enkia,B01AF01,Full,Pentru tratament şi profilaxie la copii de vîrsta 0-18 ani,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",Medochemie,Cipru
272,RIVAROXABANUM,,,2723012,,Enkia,B01AF01,Full,Pentru tratament şi profilaxie la copii de vîrsta 0-18 ani,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",Medochemie,Cipru
717,SITAGLIPTINUM,,,7171005,,Jidinum,A10BH01,Partial,Pentru tratamentul diabetului zaharat,,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",Medochemie,Cipru
