Grupa maladiilor pentru compensare,Cod DCI,Denumirea Comuna Internationala (DCI),Doza în SI MC,Cod DC,Denumirea comercială (DC),Doza,Forma farmaceutică,Divizarea,Ţara,Firma producătoare,Număr de înregistrare,Data înregistrării,Cod ATC,Cod medicament (Catalogul național de prețuri),is_child_rate,coverage_type,Cod DCI_sec,Cod DC_sec
pentru tratamentul episodic,812,CEFTRIAXONUM,4-1,8125008,Sefabel®,1000 mg,pulb.+solv./sol. inj.,"N1+3,5 ml N1",Turcia,"Idol Ilac Dolum Sanayii ve Ticaret A.Ş, Turcia; Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia",27765,06.05.2022,J01DD04,305620668,True,Full,912,9125008
pentru tratamentul episodic,812,CEFTRIAXONUM,4-1,8125011,Desefin 1 g IM,1000 mg,pulb.+solv./sol. inj.,"N1 + 3,5 ml N1",Turcia,"Deva Holding A S, Turcia(PROD: Deva Holding A.Ș., Turcia; )",28887,27.02.2023,J01DD04,0305620716,True,Full,912,9125011
pentru tratamentul episodic,812,CEFTRIAXONUM,4-1,8125012,Cefamed,1000 mg,pulb.+solv./sol. inj.,"3,5 ml N1 + N1",Marea Britanie,"World Medicine Limited, Marea Britanie(PROD: PharmaVision Sanayi ve Ticaret A.Ş., Turcia; )",28096,2022-08-25 00:00:00,J01DD04,400201371,True,Full,912,9125012
pentru tratamentul episodic,812,CEFTRIAXONUM,4-1,8125015,Cefamed,1 g,pulb.+solv./sol. inj.,"3,5 ml N1 + N1",Marea Britanie,"World Medicine Limited, Marea Britanie(PROD: Egyptian International Pharmaceutical Industries Co. (E.I.P.I.Co.), Egipt; )",30501,04.12.2024,J01DD04,9241203577,True,Full,912,9125015
pentru tratamentul episodic,812,CEFTRIAXONUM,4-1,8125013,Cefson™,1000 mg,pulb.+solv./sol. inj.,N1,Turcia,"World Medicine Ilac San.ve Tic. A.Ș. (prod.: Pharma Vision Sanayi ve Ticaret A.Ș, Turcia) ",25193,26.12.2018,J01DD04,0305620819,True,Full,912,9125013
pentru tratamentul episodic,812,CEFTRIAXONUM,4-1,8125014,Trikaxon 1g IM,1 g,pulb.+solv./sol. inj.,"3,5 ml N1+N1",Republica Moldova,"Vinamex ÎM SRL, Republica Moldova(PROD: LABORATORIOS NORMON, S.A., Spania; )",29012,31.03.2023,J01DD04,9230402661,True,Full,912,9125014
pentru tratamentul episodic,812,CEFTRIAXONUM,500,8126002,Ceftriaxone,500 mg,pulb./sol. inj./perf.,N10,Republica Moldova,"Dita EstFarm SRL, Republica Moldova(PROD: Reyoung Pharmaceutical Co. Ltd., China; )",30421,03.10.2024,J01DD04,0305620772,True,Full,912,9126002
pentru tratamentul episodic,812,CEFTRIAXONUM,500,8127001,Sefabel®,500 mg,pulb.+solv./sol. inj.,N1+2 ml N1,Turcia,"Idol Ilac Dolum Sanayii ve Ticaret A.Ş, Turcia; Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia",27764,06.05.2022,J01DD04,305620679,True,Full,912,9127001
pentru tratamentul episodic,817,CEFUROXIMUM,250,8172003,Zinnat®,250 mg,comp. film.,N10,Marea Britanie,"Glaxo Wellcome UK Ltd, Marea Britanie(PROD: Glaxo Operations UK Limited (Glaxo Wellcome Operations), Marea Britanie; )",26346,22.07.2020,J01DC02,0300320088,True,Full,225,2252003
pentru tratamentul episodic,817,CEFUROXIMUM,250,8172010,Axetine ,250 mg,comp. film.,N10,Cipru,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",26687,18.01.2021,J01DC02,0300320583,True,Full,225,2252010
pentru tratamentul episodic,817,CEFUROXIMUM,500,8173001,Aksef® ,500 mg,comp. film.,N10,Turcia,"Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia",26904,05.07.2021,J01DC02,0300320206,True,Full,225,2253001
pentru tratamentul episodic,817,CEFUROXIMUM,500,8173003,Enfexia®,500 mg,comp. film.,N5x4,Turcia,"Bilim Ilac Sanayi Ve Ticaret A.Ș., Turcia(PROD: Bilim Ilac Sanayi Ve Ticaret A.Ș., Turcia; )",29137,2023-06-24 00:00:00,J01DC02,9230602816,True,Full,225,2253003
pentru tratamentul episodic,817,CEFUROXIMUM,500,8173003,Enfexia®,500 mg,comp. film.,N5x2,Turcia,"Bilim Ilac Sanayi Ve Ticaret A.Ș., Turcia(PROD: Bilim Ilac Sanayi Ve Ticaret A.Ș., Turcia; )",29137,2023-06-24 00:00:00,J01DC02,0300320033,True,Full,225,2253003
pentru tratamentul episodic,817,CEFUROXIMUM,500,8173005,Zinnat®,500 mg,comp. film.,N10,Marea Britanie,"Glaxo Wellcome UK Ltd, Marea Britanie(PROD: Glaxo Operations UK Limited (Glaxo Wellcome Operations), Marea Britanie; )",26347,22.07.2020,J01DC02,300320099,True,Full,225,2253005
pentru tratamentul episodic,817,CEFUROXIMUM,500,8173010,Axetine ,500 mg,comp. film.,N10,Cipru,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",26688,18.01.2021,J01DC02,0300320631,True,Full,225,2253010
pentru tratamentul episodic,817,CEFUROXIMUM,1-750,8174006,Cefuroximă Atb® 750 mg,750 mg,pulb. susp. inj./sol. inj.,N10,România,"Antibiotice SA  SC, România(PROD: Antibiotice SA SC, România; )",24760,31.07.2018,J01DC02,0300320952,True,Full,225,2254006
pentru tratamentul episodic,817,CEFUROXIMUM,1-750,8174007,Aksef® ,750 mg,pulbere şi solvent pentru soluţie injectabilă,6 ml N1 + N1,Turcia,"Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia(PROD: Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia; )",28564,01.11.2022,J01DC02,300320228,True,Full,225,2254007
pentru tratamentul episodic,817,CEFUROXIMUM,2-750,8175003,Cefuroximă,750 mg,pulb./sol. inj./perf.,N10,China,"NCPC International Corp., China(PROD: NCPC Hebei Huamin Pharmaceutical Co.  Ltd., China; )",29182,19.07.2023,J01DC02,0300320815,True,Full,225,2255003
pentru tratamentul episodic,817,CEFUROXIMUM,2-750,8175004,Zinacef™,750 mg,pulb./sol. inj./perf.,N10,Marea Britanie,"Glaxo Operations UK Limited (Glaxo Wellcome Operations) (prod.: GlaxoSmithKline Manufacturing SpA, Italia) ",27537,28.02.2022,J01DC02,300320697,True,Full,225,2255004
pentru tratamentul episodic,817,CEFUROXIMUM,2-750,8175005,Axetine®,750 mg,pulb./sol. inj./perf.,N10,Cipru,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",27833,27.05.2022,J01DC02,0600140913,True,Full,225,2255005
pentru tratamentul episodic,817,CEFUROXIMUM,2-750,8175009,Cefuroxim,750 mg,pulb./sol. inj./perf.,N10,China,"Zhuhai United Laboratories (Zhongshan) Co. Ltd, China(PROD: Zhuhai United Laboratories (Zhongshan) Co. Ltd, China; )",27167,07.10.2021,J01DC02,300320550,True,Full,225,2255009
pentru tratamentul episodic,817,CEFUROXIMUM,2-750,8175010,Cefuroxim-BP,750 mg,pulb./sol. inj./perf.,N20,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",28878,27.02.2023,J01DC02,9230202549,True,Full,225,2255010
pentru tratamentul episodic,817,CEFUROXIMUM,1.5,8176001,Axetine®,"1,5 g",pulb./sol. inj./perf.,N10,Cipru,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory C), Cipru; )",27834,27.05.2022,J01DC02,0600140924,True,Full,225,2256001
pentru tratamentul episodic,817,CEFUROXIMUM,1.5,8176002,Cefuroxim,"1,5 g",pulb./sol. inj./perf.,N10,China,"Zhuhai United Laboratories (Zhongshan) Co. Ltd, China(PROD: Zhuhai United Laboratories (Zhongshan) Co. Ltd, China; )",27168,2021-10-07 00:00:00,J01DC02,300320561,True,Full,225,2256002
pentru tratamentul episodic,817,CEFUROXIMUM,1.5,8176004,Cefuroximă,"1,5 g",pulb./sol. inj./perf.,N10,China,"NCPC International Corp., China(PROD: NCPC Hebei Huamin Pharmaceutical Co.  Ltd., China; )",29183,19.07.2023,J01DC02,0300320826,True,Full,225,2256004
pentru tratamentul episodic,817,CEFUROXIMUM,1.5,8176006,"Cefuroximă Atb® 1,5 g","1,5 g",pulbere pentru suspensie injectabilă/soluţie injectabilă,N10,România,"Antibiotice SA  SC, România(PROD: Antibiotice SA SC, România; )",24759,31.07.2018,J01DC02,0300320907,True,Full,225,2256006
pentru tratamentul episodic,817,CEFUROXIMUM,1.5,8176008,Cefuroxim-BP,"1,5 g",pulb./sol. inj./perf.,N20,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",28879,27.02.2023,J01DC02,9230202551,True,Full,225,2256008
pentru tratamentul episodic,818,CIPROFLOXACINUM,100,8181001,Ciprinol® ,100 mg/10 ml,conc. sol. perf.,N5,Slovenia,"KRKA d.d., Novo mesto, Slovenia",27611,25.03.2022,J01MA02,0300660254,True,Full,918,9181001
pentru tratamentul episodic,818,CIPROFLOXACINUM,200,8182005,"Ciprofloxacin Injection USP (0,2% w/v)",2 mg/ml,sol. perf.,100 ml N1,India,"Otsuka Pharmaceutical India Private Limited, India(PROD: Otsuka Pharmaceutical India Private Limited, India; )",26715,05.02.2021,J01MA02,9210200891,True,Full,918,9182005
pentru tratamentul episodic,818,CIPROFLOXACINUM,200,8182002,Ificipro,2 mg/ml,sol. perf.,100 ml N1,India,"Unique Pharmaceutical Laboratories (a division of J.B. Chemicals & Pharmaceuticals Ltd.), India(PROD: Unique Pharmaceutical Laboratories (a division of J. B. Chemicals & Pharmaceuticals Ltd.), India; )",27890,27.06.2022,J01MA02,0300660564,True,Full,918,9182002
pentru tratamentul episodic,818,CIPROFLOXACINUM,250,8183002,Ciprofloxacin,250 mg,comp. film.,N10,Ucraina,"Technolog SAP, Ucraina",26366,22.07.2020,J01MA02,300660542,True,Full,918,9183002
pentru tratamentul episodic,818,CIPROFLOXACINUM,500,8184002,Ciprinol® 500 mg,500 mg,comp. film.,N10,Slovenia,"KRKA d.d., Novo mesto, Slovenia(PROD: KRKA d.d., Novo mesto, Slovenia; )",26768,12.03.2021,J01MA02,300660298,True,Full,918,9184002
pentru tratamentul episodic,818,CIPROFLOXACINUM,500,8184003,Cipro Quin®,500 mg,comp. film.,N10,România,"Antibiotice SA, SC",27349,29.11.2021,J01MA02,307480215,True,Full,918,9184003
pentru tratamentul episodic,818,CIPROFLOXACINUM,500,8184005,Ciprofloxacin,500 mg,comp. film.,N10,Ucraina,"Technolog SAP, Ucraina",26367,22.07.2020,J01MA02,300660553,True,Full,918,9184005
pentru tratamentul episodic,818,CIPROFLOXACINUM,500,8184010,Siprobel,500 mg,comp. film.,N14,Turcia,"Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia(PROD: Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia; )",27166,07.10.2021,J01MA02,307480411,True,Full,918,9184010
pentru tratamentul episodic,818,CIPROFLOXACINUM,400,8186001,Ciprinol®,400 mg/200 ml,sol. perf.,N1,Slovenia,"KRKA d.d., Novo mesto",25165,05.12.2018,J01MA02,0300660287,True,Full,918,9186001
pentru tratamentul episodic,033,CLARITHROMYCINUM,500,0331001,Claricid®,500 mg,comp. film.,N7x2,Turcia,Bilim Pharmaceuticals AS,24947,13.09.2018,J01FA09,300700044,True,Full,919,9191001
pentru tratamentul episodic,033,CLARITHROMYCINUM,500,0331005,Fromilid® 500,500 mg,comp. film.,N7x2,Slovenia,"KRKA d.d., Novo mesto",25060,29.10.2018,J01FA09,300700103,True,Full,919,9191005
pentru tratamentul episodic,033,CLARITHROMYCINUM,1-500,0331008,Fromilid® uno,500 mg,comp. elib. prel.,N7,Slovenia,"KRKA d.d., Novo mesto",26442,11.08.2020,J01FA09,300700099,True,Full,919,9191008
pentru tratamentul episodic,033,CLARITHROMYCINUM,1-500,0331011,Klacid® SR,500 mg,comp. elib. modif.,N7x2,Germania,"Abbott Laboratories GmbH (prod.: AbbVie S.r.l., Italia) ",26777,12.03.2021,J01FA09,300700631,True,Full,919,9191011
pentru tratamentul episodic,033,CLARITHROMYCINUM,500,0331016,Roclarin® 500 mg,500 mg,comp. film.,N10x2,România,"Antibiotice SA, SC",27275,01.11.2021,J01FA09,300700594,True,Full,919,9191016
pentru tratamentul episodic,033,CLARITHROMYCINUM,250,0332004,Fromilid® 250,250 mg,comp. film.,N7x2,Slovenia,"KRKA d.d., Novo mesto",25059,29.10.2018,J01FA09,300700088,True,Full,919,9192004
pentru tratamentul episodic,823,DEXAMETHASONUM,0.5,8231003,Dexametazon-BP,"0,5 mg",comprimate,N25,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",27146,2021-08-26 00:00:00,H02AB02,9210901271,True,Full,923,9231003
pentru tratamentul episodic,823,DEXAMETHASONUM,4,8232001,Dexametazonă fosfat,4 mg/ml,sol. inj.,1 ml  N5x2,Ucraina,Farmak SAP,25315,07.02.2019,H02AB02,400110430.99999994,True,Full,923,9232001
pentru tratamentul episodic,823,DEXAMETHASONUM,4,8232003,Dexamethason,4 mg/ml,sol. inj.,1 ml N5x5,Slovenia,"KRKA d.d., Novo mesto",27487,2022-01-26 00:00:00,H02AB02,400110084,True,Full,923,9232003
pentru tratamentul episodic,823,DEXAMETHASONUM,1-4,8232004,Dexamed®,8 mg/2 ml,sol. Inj.,2 ml N5x2,Cipru,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",24913,13.09.2018,H02AB02,0400110095,True,Full,923,9232004
pentru tratamentul episodic,823,DEXAMETHASONUM,1-4,8232005,Dexametazon-BP,4 mg/ml,sol. inj.,2 ml N10,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",26948,05.07.2021,H02AB02,9210701176,True,Full,923,9232005
pentru tratamentul episodic,823,DEXAMETHASONUM,1-4,8232010,Dexametazonă,4 mg/ml,sol. inj.,2 ml N10,Ucraina,"Uzina experimentală GNŢLS SRL, Ucraina(PROD: Compania farmaceutică ""Zdorovie"" SRL, Ucraina; ,Uzina experimentală GNŢLS SRL, Ucraina; )",27469,2022-01-26 00:00:00,H02AB02,9220701915,True,Full,923,9232010
pentru tratamentul episodic,823,DEXAMETHASONUM,1-4,8232011,Dexamethasone - Agio,4 mg/ml,sol. inj.,2 ml N5x5,India,"Agio Pharmaceuticals Ltd, India(PROD: Agio Pharmaceuticals Ltd, India; )",26184,13.05.2020,H02AB02,9210601086,True,Full,923,9232011
pentru tratamentul episodic,823,DEXAMETHASONUM,4,8232009,Dexamethasone - Agio,4 mg/ml,sol. inj.,1 ml N5x5,India,"Agio Pharmaceuticals Ltd, India(PROD: Agio Pharmaceuticals Ltd, India; )",26184,13.05.2020,H02AB02,9200500489,True,Full,923,9232009
pentru tratamentul episodic,823,DEXAMETHASONUM,4,8232006,Dexametazon-BP,4 mg/ml,sol. inj.,1 ml N10,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",26948,05.07.2021,H02AB02,9210701175,True,Full,923,9232006
pentru tratamentul episodic,823,DEXAMETHASONUM,2,8233001,Dexametazon-BP,2 mg,comprimate,N20,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",27147,26.08.2021,H02AB02,9210901272,True,Full,923,9233001
pentru tratamentul episodic,823,DEXAMETHASONUM,2-4,8234001,Dexametazon-BP,4 mg,comprimate,N20,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",27148,26.08.2021,H02AB02,9210901273,True,Full,923,9234001
pentru tratamentul episodic,822,DEXKETOPROFENUM,1-25,8221001,Dexalgin® inject,25 mg/ml,sol. inj./perf.,2 ml N5,Luxemburg,"Menarini International Operations Luxembourg SA (prod.: A. Menarini Manufacturing Logistics&Services SRL, Italia) ",25975,05.12.2019,M01AE17,400120030,True,Full,922,9221001
pentru tratamentul episodic,822,DEXKETOPROFENUM,1-25,8221003,Dexarom,50 mg/2 ml,sol. inj. / perf.,2 ml N10,România,"Rompharm Company SRL, SC",26101,09.04.2020,M01AE17,400120199,True,Full,922,9221003
pentru tratamentul episodic,822,DEXKETOPROFENUM,1-25,8221003,Dexarom,50 mg/2 ml,sol. inj. / perf.,2 ml N5,România,"Rompharm Company SRL, SC",26101,09.04.2020,M01AE17,400120203,True,Full,922,9221003
pentru tratamentul episodic,822,DEXKETOPROFENUM,1-25,8221004,Dexinal®,50 mg/2 ml,sol. inj.,2 ml N6,Turcia,"Nobel Ilac Pazarlama ve Sanayii Ltd. Şti (prod.: Idol Ilac Dolum Sanayii ve Ticaret A.Ş, Turcia) ",25830,09.10.2019,M01AE17,400120133,True,Full,922,9221004
pentru tratamentul episodic,822,DEXKETOPROFENUM,1-25,8221005,Leodex,50 mg/2 ml,sol. inj.,2 ml N6,Turcia,"Bilim Ilac Sanayi Ve Ticaret A.Ș., Turcia(PROD: Idol Ilac Dolum Sanayii ve Ticaret A.Ș., Turcia; )",26766,12.03.2021,M01AE17,400120225,True,Full,922,9221005
pentru tratamentul episodic,822,DEXKETOPROFENUM,1-25,8221007,Sertofen,50 mg/2 ml,soluţie injectabilă/conc. sol. perfuzabilă,2 ml N5,Turcia,"World Medicine Ilac San.ve Tic. A.Ș., Turcia(PROD: PharmaVision Sanayi ve Ticaret A.Ş., Turcia; )",28008,04.08.2022,M01AE17,400120317,True,Full,922,9221007
pentru tratamentul episodic,822,DEXKETOPROFENUM,1-25,8221009,Algodex,25 mg/ml,sol. inj. / conc./sol. perf.,2 ml N5,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",24536,18.05.2018,M01AE17,0400120410,True,Full,922,9221009
pentru tratamentul episodic,822,DEXKETOPROFENUM,1-25,8221009,Algodex,25 mg/ml,sol. inj. / conc./sol. perf.,2 ml N10,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",24536,18.05.2018,M01AE17,0400120421,True,Full,922,9221009
pentru tratamentul episodic,822,DEXKETOPROFENUM,1-25,8221014,Keywer,25 mg/ml,sol. inj.,2 ml N10,Ucraina,"Farmak SA, Ucraina(PROD: Farmak SA, Ucraina; )",27496,26.01.2022,M01AE17,0400120270,True,Full,922,9221014
pentru tratamentul episodic,822,DEXKETOPROFENUM,1-25,8221010,Auxilen®,25 mg/ml,sol. inj. / conc./sol. perf.,2 ml N5,Letonia,"Kalceks SA (prod.: HBM Pharma s.r.o., Slovacia; Kalceks SA, Letonia) ",29228,25.08.2023,M01AE17,0400120432,True,Full,922,9221010
pentru tratamentul episodic,822,DEXKETOPROFENUM,1-25,8221012,Ketavel ,50 mg/2 ml,soluţie injectabilă/perfuzabilă,N6,Turcia,"Deva Holding A S, Turcia(PROD: Deva Holding A.S., Turcia; )",26045,06.03.2020,M01AE17,9200400365,True,Full,922,9221012
pentru tratamentul episodic,822,DEXKETOPROFENUM,1-25,8221013,Dekenor®,50 mg/2 ml,soluţie injectabilă/perfuzabilă,N5,Slovenia,"KRKA d.d., Novo mesto, Slovenia(PROD: KRKA d.d., Novo mesto, Slovenia; )",26650,14.12.2020,M01AE17,9201200833,True,Full,922,9221013
pentru tratamentul episodic,824,DICLOFENACUM,1-25,8241001,Ortofen-Zdorovie,25 mg,comp. gastrorez.,N30,Ucraina,"Zdorovie SRL, Companie farmaceutică ",25650,04.07.2019,M01AB05,400320092,True,Full,924,9241001
pentru tratamentul episodic,824,DICLOFENACUM,1-25,8241003,Ortofen,25 mg,comp. gastrorez.,N10x3,Ucraina,Vitaminî SAP,26311,22.07.2020,M01AB05,400201234,True,Full,924,9241003
pentru tratamentul episodic,824,DICLOFENACUM,1-25,8241004,Ortofen,25 mg,comp. gastrorez.,N10X3,Ucraina,Technolog SAP,28645,01.11.2022,M01AB05,0400320726,True,Full,924,9241004
pentru tratamentul episodic,824,DICLOFENACUM,1-50,8241005,Diclofenac,50 mg,comp. gastrorez.,N10x2,Serbia,"Hemofarm AD, Serbia(PROD: Hemofarm AD, Serbia; )",29473,25.01.2024,M01AB05,0400320508,True,Full,924,9241005
pentru tratamentul episodic,824,DICLOFENACUM,4-50,8242008,Diclofenac,50 mg,sup.,N5x2,Republica Moldova,Farmaprim SRL,25926,05.11.2019,M01AB05,9230602765,True,Full,924,9242008
pentru tratamentul episodic,824,DICLOFENACUM,4-50,8242009,Diclosafe,50 mg,sup.,N5x2,India,"Kusum Healthcare Pvt.Ltd, India(PROD: Kusum Healthcare Pvt.Ltd, India; )",30589,03.02.2025,M01AB05,0400320782,True,Full,924,9242009
pentru tratamentul episodic,824,DICLOFENACUM,1-75,8243001,Naklofen duo,75 mg,capsule,N10x2,Slovenia,"KRKA d.d., Novo mesto, Slovenia(PROD: KRKA d.d., Novo mesto, Slovenia; )",28170,08.09.2022,M01AB05,400200422,True,Full,924,9243001
pentru tratamentul episodic,824,DICLOFENACUM,2-75,8243002,Diclofenac de sodiu,25 mg/ml,sol. inj.,3 ml N10,Belarus,UPM din Borisov SAD,25547,26.04.2019,M01AB05,400200721.00000006,True,Full,924,9243002
pentru tratamentul episodic,824,DICLOFENACUM,2-75,8243002,Diclofenac de sodiu,25 mg/ml,sol. inj.,3 ml N5x2,Belarus,UPM din Borisov SAD,25547,26.04.2019,M01AB05,400320553,True,Full,924,9243002
pentru tratamentul episodic,824,DICLOFENACUM,2-75,8243004,Diclofenac,25 mg/ml,sol. inj.,3 ml N5,Serbia,"Hemofarm AD, Serbia(PROD: Hemofarm AD, Serbia; )",30343,31.07.2024,M01AB05,0400320069,True,Full,924,9243004
pentru tratamentul episodic,824,DICLOFENACUM,2-75,8243006,Dicloberl® N75,75 mg/3 ml,sol. inj.,N5,Germania,"Berlin-Chemie AG (Menarini Group) (prod.: A. Menarini Manufacturing Logistics & Services SRL, Italia; Berlin-Chemie AG (Menarini Group), Germania) ",28589,01.11.2022,M01AB05,0400320335,True,Full,924,9243006
pentru tratamentul episodic,824,DICLOFENACUM,2-75,8243007,Naklofen®,75 mg/3 ml,sol. inj.,N5,Slovenia,"KRKA d.d., Novo mesto, Slovenia(PROD: KRKA d.d., Novo mesto, Slovenia; )",27245,2021-11-01 00:00:00,M01AB05,0400200433,True,Full,924,9243007
pentru tratamentul episodic,824,DICLOFENACUM,2-75,8243012,Clodifen,75 mg/3 ml,sol. inj.,N5,SUA,"World Medicine Limited (prod.: Egyptian International Pharmaceutical Industries Co. (E.I.P.I.Co.), Egipt) ",29078,26.05.2023,M01AB05,0400201005,True,Full,924,9243012
pentru tratamentul episodic,824,DICLOFENACUM,2-75,8243013,Diclofenac-BP,75 mg/3 ml,sol. inj.,3 ml N5,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",25432,04.04.2019,M01AB05,0400320807,True,Full,924,9243013
pentru tratamentul episodic,824,DICLOFENACUM,2-75,8243014,Diclofenac sodium,25 mg/ml,sol. inj.,3 ml N10,Republica Moldova,"Dita EstFarm SRL, Republica Moldova(PROD: Reyoung Pharmaceutical Co. Ltd., China; )",28080,2022-08-25 00:00:00,M01AB05,9220802006,True,Full,924,9243014
pentru tratamentul episodic,824,DICLOFENACUM,2-100,8244001,Clafen® 100 mg,100 mg,sup.,N3x2,România,"Antibiotice SA, SC",24815,31.07.2018,M01AB05,400200765.00000006,True,Full,924,9244001
pentru tratamentul episodic,824,DICLOFENACUM,2-100,8244002,Dicloberl® 100,100 mg,sup.,N10,Germania,Berlin-Chemie AG (Menarini Group),25036,29.10.2018,M02AA15,0400320586,True,Full,924,9244002
pentru tratamentul episodic,824,DICLOFENACUM,2-100,8244007,Diclosafe,100 mg,sup.,N5x2,India,"Kusum Healthcare Pvt.Ltd, India(PROD: Kusum Healthcare Pvt.Ltd, India; )",30590,03.02.2025,M01AB05,0400320759,True,Full,924,9244007
pentru tratamentul episodic,824,DICLOFENACUM,1-100,8244004,Diclofenac,100 mg,comp. film. elib. prel.,N10x2,Serbia,"Hemofarm AD (prod.: Hemofarm AD, Serbia; Hemofarm LLC, Rusia) ",28827,31.01.2023,M01AB05,400320483,True,Full,924,9244004
pentru tratamentul episodic,824,DICLOFENACUM,1-100,8244003,Dicloberl® retard,100 mg,caps. elib. prel.,N10x2,Germania,"Berlin-Chemie AG (Menarini Group) (prod.: Berlin-Chemie AG, Germania; Menarini-Von Heyden GmbH, Germania; Riemser Specialty Production GmbH, Germania) ",27568,28.02.2022,M01AB05,0400320416,True,Full,924,9244005
pentru tratamentul episodic,824,DICLOFENACUM,2-100,8244006,Diclofenac,100 mg,sup.,N5x2,Republica Moldova,Farmaprim SRL,25927,05.11.2019,M01AB05,0400200156,True,Full,924,9244006
pentru tratamentul episodic,652,DONEPEZILI HYDROCHLORIDUM,5,6521003,Alzepil®,5 mg,comp. film.,N14x2,Ungaria,Egis Pharmaceuticals PLC,25326,2019-02-07 00:00:00,N06DA02,0409070024,True,Full,752,7521003
pentru tratamentul episodic,652,DONEPEZILI HYDROCHLORIDUM,5,6521004,Alzancer® EasyTab,5 mg,comprimate orodispersabile,N7x4,Turcia,"Nobel Ilac Sanayii Ve Ticaret A.Ş., Turcia(PROD: Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia; )",25847,2019-10-09 00:00:00,N06DA02,9191000205,True,Full,752,7521004
pentru tratamentul episodic,652,DONEPEZILI HYDROCHLORIDUM,10,6522002,Alzepil®,10 mg,comp. film.,N14x2,Ungaria,Egis Pharmaceuticals PLC,25325,2019-02-07 00:00:00,N06DA02,0409070046,True,Full,752,7522002
pentru tratamentul episodic,652,DONEPEZILI HYDROCHLORIDUM,10,6522003,Alzancer® EasyTab,10 mg,comprimate orodispersabile,N7x4,Turcia,"Nobel Ilac Sanayii Ve Ticaret A.Ş., Turcia(PROD: Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia; )",25848,2019-10-09 00:00:00,N06DA02,9191000204,True,Full,752,7522003
pentru tratamentul episodic,827,DOXYCYCLINUM,1-100,8271002,Doxiciclină,100 mg,caps.,N10,Republica Moldova,"Eurofarmaco SA, ÎCS",25581,21.06.2019,J01AA02,400470023,True,Full,927,9271002
pentru tratamentul episodic,653,ESCITALOPRAMUM,10,6531001,Deprestop® 10 mg,10 mg,comp. film.,N14x2,Turcia,"Nobel Ilac Sanayii ve Ticaret AŞ, Turcia",27737,06.05.2022,N06AB10,0508770076,True,Full,753,7531001
pentru tratamentul episodic,653,ESCITALOPRAMUM,10,6531003,Lenuxin®,10 mg,comp. film.,N14x2,Ungaria,"Gedeon Richter PLC (prod.: Gedeon Richter Poland Co., Ltd, Polonia) ",26242,2020-05-13 00:00:00,N06AB10,0508770021,True,Full,753,7531003
pentru tratamentul episodic,653,ESCITALOPRAMUM,10,6531004,Losiram,10 mg,comp. film.,N14x2,Turcia,"Bilim Ilac Sanayi Ve Ticaret A.Ș. (prod.: Bilim Ilac Sanayi Ve Ticaret A.Ș., Turcia) ",26726,2021-02-05 00:00:00,N06AB10,508770010,True,Full,753,7531004
pentru tratamentul episodic,653,ESCITALOPRAMUM,10,6531006,Elicea®,10 mg,comp. film.,N10x3,Slovenia,"KRKA d.d., Novo mesto",28961,31.03.2023,N06AB10,0508770272,True,Full,753,7531006
pentru tratamentul episodic,653,ESCITALOPRAMUM,10,6531008,Medolapram,10 mg,comp. film.,N14x2,Georgia,"World Medicine LTD, Georgia(PROD: World Medicine Ilac San. ve Ticaret A.Ş., Turcia; )",26513,2020-09-10 00:00:00,N06AB10,9200900717,True,Full,753,7531008
