Grupa maladiilor pentru compensare,Cod DCI,Denumirea Comuna Internationala (DCI),Doza în SI MC,Cod DC,Denumirea comercială (DC),Doza,Forma farmaceutică,Divizarea,Ţara,Firma producătoare,Număr de înregistrare,Data înregistrării,Cod ATC,Cod medicament (Catalogul național de prețuri),is_child_rate,coverage_type,Cod DCI_sec,Cod DC_sec
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,5,0171013,Niperten,5 mg,comp. film.,N10x3,Slovenia,"KRKA d.d., Novo mesto (prod.: KRKA-Rus, Rusia) ",28132,25.08.2022,C07AB07,200300566,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,5,0171014,Bicard-LF,5 mg,comp. film.,N10x3,Republica Belarus,Lekfarm SRL,25545,26.04.2019,C07AB07,200300681,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,5,0171019,Bisoprolol-BP,5 mg,comp. film.,N10x3,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",27354,2021-11-29 00:00:00,C07AB07,9211101437,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,5,0171021,Bisoprolol,5 mg,comp. film.,N10x3,Macedonia,"Replek Farm Ltd. Skopje, Macedonia(PROD: Replek Farm Ltd. Skopje, Macedonia; )",26323,2020-07-22 00:00:00,C07AB07,9200700591,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,5,0171024,Bisoprolol-ACOS,5 mg,comp. film.,N10x3,Rusia,"SA Biokom, Rusia(PROD: SA Biokom, Rusia; )",30452,28.10.2024,C07AB07,9241003454,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172001,Bisogamma® 10,10 mg,comp. film.,N10x3,Germania,"Worwag Pharma GmbH&Co.KG (prod.: Magistra C&C SRL, SC, România; Mauermann-Arzneimittel KG, Germania) ",25529,2019-04-26 00:00:00,C07AB07,200300083,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172024,Bisoprolol-ACOS,10 mg,comp. film.,N10x3,Rusia,"SA Biokom, Rusia(PROD: SA Biokom, Rusia; )",30451,28.10.2024,C07AB07,9241003452,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172004,Biprolol,10 mg,comp.,N10x3,Ucraina,"UCF Borsceagov SAP,CŞP",25586,2019-06-21 00:00:00,C07AB07,200300234,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172005,Bisotens® 10 mg,10 mg,comp. film.,N10x3,România,"Antibiotice SA, SC",25156,2018-12-05 00:00:00,C07AB07,200300245,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172010,Concor®,10 mg,comp. film.,N30,Germania,Merck KGaA,26557,2020-11-19 00:00:00,C07AB07,200300636,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172012,Bidop® ,10 mg,comp.,N14x2,Ungaria,"Gedeon Richter PLC (prod.: Niche Generics Limited, Irlanda) ",26161,2020-04-30 00:00:00,C07AB07,9200500431,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172013,Niperten,10 mg,comp. film.,N10x3,Slovenia,"KRKA d.d., Novo mesto (prod.: KRKA-Rus, Rusia) ",28133,2022-08-25 00:00:00,C07AB07,200300588,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172014,Bicard-LF,10 mg,comp. film.,N10x3,Republica Belarus,Lekpharm SRL,25543,2019-04-26 00:00:00,C07AB07,200300739,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172019,Bisoprolol-BP,10 mg,comp. film.,N10x3,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",27355,2021-11-29 00:00:00,C07AB07,9211101434,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,10,0172021,Bisoprolol,10 mg,comp. film.,N10x3,Macedonia,"Replek Farm Ltd. Skopje, Macedonia(PROD: Replek Farm Ltd. Skopje, Macedonia; )",26324,2020-07-22 00:00:00,C07AB07,9200700590,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,2.5,0173001,Bidop® ,"2,5 mg",comp.,N14x2,Ungaria,"Gedeon Richter PLC (prod.: Niche Generics Limited, Irlanda) ",26159,2020-04-30 00:00:00,C07AB07,9200500436,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,2.5,0173002,Concor® Cor,"2,5 mg",comp. film.,N10x3,Germania,Merck KGaA,28140,25.08.2022,C07AB07,0200301024,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,2.5,0173002,Concor® Cor,"2,5 mg",comp. film.,N 30,Germania,Merck KGaA,28140,25.08.2022,C07AB07,0200301013,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,2.5,0173003,Niperten,"2,5 mg",comp. film.,N10x3,Slovenia,"KRKA d.d., Novo mesto (prod.: KRKA-Rus, Rusia) ",28131,25.08.2022,C07AB07,200300577,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,2.5,0173008,Bicard-LF,"2,5 mg",comp. film.,N10x3,Republica Belarus,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",25544,26.04.2019,C07AB07,0200300717,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,017,BISOPROLOLUM,2.5,0173006,Bisoprolol-BP,"2,5 mg",comp. film.,N10x3,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",27353,2021-11-29 00:00:00,C07AB07,9211101436,False,Partial,,
Pentru tratamentul bolilor endocrine,042,BROMOCRIPTINUM,2.5,0421001,Bromocriptin-Richter,"2,5 mg",comp.,N30,Ungaria,Gedeon Richter PLC,28684,28.11.2022,G02CB01,200360012.00000003,False,Partial,,
Pentru tratamentul astmului bronşic,068,BUDESONIDUM+FORMOTEROLUM,80,0681001,Symbicort® Turbuhaler®,"80 mcg/4,5 mcg/inhalație",pulbere de inhalat,60 doze N1,Suedia,"AstraZeneca AB, Suedia(PROD: AstraZeneca AB, Suedia; )",27844,2022-05-27 00:00:00,R03AK07,9220501859,False,Partial,,
Pentru tratamentul astmului bronşic,068,BUDESONIDUM+FORMOTEROLUM,160,0682001,Symbicort® Turbuhaler®,"160 mcg/4,5 mcg/inhalație",pulbere de inhalat,60 doze N1,Suedia,"AstraZeneca AB, Suedia(PROD: AstraZeneca AB, Suedia; )",27845,27.05.2022,R03AK07,9220501860,False,Partial,,
Pentru tratamentul bolilor endocrine,062,CABERGOLINUM,0.5,0621002,Cabergolin-BP,"0,5 mg",comp.,N20,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",28038,04.08.2022,G02CB03,9220801942,False,Partial,,
