,name,source
2725,"ACIDUM PHOSPHORICUM C12, ACIDUM PHOSPHORICUM C30, ACIDUM PHOSPHORICUM C15, ACIDUM PHOSPHORICUM C200, ACIDUM PHOSPHORICUM K200, ACIDUM PHOSPHORICUM C170, ACIDUM PHOSPHORICUM K700000, ACIDUM PHOSPHORICUM LM1, ACIDUM PHOSPHORICUM LM12, ACIDUM PHOSPHORICUM LM2, ACIDUM PHOSPHORICUM LM3, ACIDUM PHOSPHORICUM LM6, ACIDUM PHOSPHORICUM LM9, ACIDUM PHOSPHORICUM LM15, ACIDUM PHOSPHORICUM LM18, ACIDUM PHOSPHORICUM LM21, ACIDUM PHOSPHORICUM LM24, ACIDUM PHOSPHORICUM LM30",ES
2413,"ACIDUM PHOSPHORICUM C4, ACIDUM PHOSPHORICUM C5, ACIDUM PHOSPHORICUM C6, ACIDUM PHOSPHORICUM C7, ACIDUM PHOSPHORICUM C9, ACIDUM PHOSPHORICUM C30, ACIDUM PHOSPHORICUM C15, ACIDUM PHOSPHORICUM C100, ACIDUM PHOSPHORICUM C200, ACIDUM PHOSPHORICUM D12, ACIDUM PHOSPHORICUM K200, ACIDUM PHOSPHORICUM K1000, ACIDUM PHOSPHORICUM K10000, ACIDUM PHOSPHORICUM K50000, ACIDUM PHOSPHORICUM K100000, ACIDUM PHOSPHORICUM K700000, ACIDUM PHOSPHORICUM LM1, ACIDUM PHOSPHORICUM LM12, ACIDUM PHOSPHORICUM LM3, ACIDUM PHOSPHORICUM LM6",ES
3029,"ACIDUM PHOSPHORICUM C7, COFFEA ARABICA C5, STRYCHNOS IGNATII C4, PASSIFLORA INCARNATA D6, TELLURIUM METALLICUM C5, PALLADIUM METALLICUM C5, ZALUZIANSKYA CAPENSIS C4, MAGNESIUM METALLICUM C5",ES
2394,"ACIDUM PHOSPHORICUM D6, ACIDUM PHOSPHORICUM D4, ACIDUM PHOSPHORICUM D30, ACIDUM PHOSPHORICUM C3, ACIDUM PHOSPHORICUM C4, ACIDUM PHOSPHORICUM C5, ACIDUM PHOSPHORICUM C6, ACIDUM PHOSPHORICUM C7, ACIDUM PHOSPHORICUM C9, ACIDUM PHOSPHORICUM C12, ACIDUM PHOSPHORICUM C30, ACIDUM PHOSPHORICUM C15, ACIDUM PHOSPHORICUM C100, ACIDUM PHOSPHORICUM C200, ACIDUM PHOSPHORICUM D8, ACIDUM PHOSPHORICUM D12, ACIDUM PHOSPHORICUM K200, ACIDUM PHOSPHORICUM K1000, ACIDUM PHOSPHORICUM K10000",ES
2372,"ACIDUM PICRINICUM C5, ACIDUM PICRINICUM C7, ACIDUM PICRINICUM C30, ACIDUM PICRINICUM C200, ACIDUM PICRINICUM K200, ACIDUM PICRINICUM K1000, ACIDUM PICRINICUM LM6",ES
2420,"ACIDUM PICRINICUM D6, ACIDUM PICRINICUM C3, ACIDUM PICRINICUM C4, ACIDUM PICRINICUM C5, ACIDUM PICRINICUM C6, ACIDUM PICRINICUM C7, ACIDUM PICRINICUM C9, ACIDUM PICRINICUM C12, ACIDUM PICRINICUM C15, ACIDUM PICRINICUM C30, ACIDUM PICRINICUM C100, ACIDUM PICRINICUM C200, ACIDUM PICRINICUM K200, ACIDUM PICRINICUM K1000, ACIDUM PICRINICUM K10000, ACIDUM PICRINICUM D8, ACIDUM PICRINICUM D12, ACIDUM PICRINICUM D30",ES
2421,"ACIDUM SALICYLICUM C3, ACIDUM SALICYLICUM C5, ACIDUM SALICYLICUM C6, ACIDUM SALICYLICUM C7, ACIDUM SALICYLICUM C9, ACIDUM SALICYLICUM C12, ACIDUM SALICYLICUM C15, ACIDUM SALICYLICUM C30, ACIDUM SALICYLICUM C100, ACIDUM SALICYLICUM D4, ACIDUM SALICYLICUM C200, ACIDUM SALICYLICUM D6, ACIDUM SALICYLICUM D8, ACIDUM SALICYLICUM D12, ACIDUM SALICYLICUM D30, ACIDUM SALICYLICUM K200, ACIDUM SALICYLICUM K1000, ACIDUM SALICYLICUM K10000, ACIDUM SALICYLICUM C4",ES
2847,"ACIDUM SILICICUM C4, ACIDUM SILICICUM C6, ACIDUM SILICICUM C7, ACIDUM SILICICUM C9, ACIDUM SILICICUM C12, ACIDUM SILICICUM C15, ACIDUM SILICICUM C30, ACIDUM SILICICUM C100, ACIDUM SILICICUM C200, ACIDUM SILICICUM D8, ACIDUM SILICICUM D12, ACIDUM SILICICUM D30, ACIDUM SILICICUM K200, ACIDUM SILICICUM K1000, ACIDUM SILICICUM K10000, ACIDUM SILICICUM C5",ES
3129,"ACIDUM SILICICUM D12, ATROPA BELLA DONNA D3, BRYONIA D3, GELSEMIUM SEMPERVIRENS D3, MELILOTUS OFFICINALIS D3, NATRIUM CARBONICUM D3, THUJA OCCIDENTALIS D12, SPIGELIA ANTHELMIA D3",ES
2888,ACIDUM SILICICUM D6,ES
